user_id,age,gender,location,platform,reels_watch_time_hours,daily_screen_time_hours,scrolling_sessions_day,notifications_per_day,sleep_hours,physical_activity_hours_week,stress_level,attention_span_score,focus_level,task_completion_rate
USR00016,29.0,female,Urban,YouTube Shorts,3.48,9.47,10,46,8.43,3.6,Low,9.6,7.12,58.6
USR00017,35.0,f,Urban,Instagram Reels,2.51,8.96,5,17,8.84,4.5,Low,8.83,7.06,44.2
USR00018,40.0,Female,Urban,Instagram Reels,3.0,7.96,8,46,7.06,5.3,High,8.01,5.08,46.5
USR00019,26.0,female,Suburban,Instagram reels,2.97,6.33,11,49,7.17,,Medium,9.9,9.31,53.5
USR00020,18.0,Female,Urban,Instagram Reels,5.57,11.51,17,63,6.18,1.6,high,6.2,3.8,32.4
USR00021,19.0,Male,Urban,TikTok,4.18,9.91,11,58,6.41,5.2,High,7.51,4.82,34.5
USR00022,34.0,Male,Urban,Instagram Reels,3.53,8.59,13,52,5.83,2.7,High,7.82,4.96,34.8
USR00023,34.0,Female,Urban,TikTok,3.68,11.12,8,22,7.58,2.1,Medium,7.07,5.15,39.8
USR00024,33.0,Female,Urban,YouTube Shorts,0.3,4.98,4,4,8.84,,lo,9.93,8.35,70.1
USR00025,16.0,Female,Suburban,Instagram Reels,2.92,7.82,10,,6.63,5.4,Medium,8.07,5.78,40.5
USR00026,19.0,Female,Urban,tiktok,3.64,6.77,8,34,7.93,5.3,Low,7.88,5.49,32.5
USR00027,15.0,male,Rural,YouTube Shorts,4.34,10.92,13,56,5.54,4.6,High,7.8,4.7,30.8
USR00028,25.0,Female,Urban,Instagram Reels,2.23,5.37,8,28,7.93,7.8,Medium,9.5,6.82,50.5
USR00029,29.0,Male,Suburban,Instagram Reels,4.37,9.99,13,42,6.14,3.5,High,7.58,6.33,35.1
USR00030,18.0,Female,Suburban,TikTok,4.5,11.35,11,33,6.58,7.3,Medium,6.47,1.86,10.0
USR00031,43.0,Male,Urban,YouTube Shorts,0.96,2.49,3,22,8.0,6.6,Low,7.05,5.87,52.8
USR00032,28.0,Female,Urban,Youtube Shorts,2.84,8.48,5,29,8.17,5.2,Low,8.42,6.11,46.6
USR00033,15.0,Female,Urban,TikTok,4.63,11.29,13,49,6.18,2.9,Medium,7.04,5.42,31.9
USR00034,29.0,Male,Suburban,YouTube Shorts,2.47,6.84,5,19,8.43,4.1,Low,8.54,5.63,39.7
USR00035,31.0,Male,Urban,Instagram Reels,0.88,4.58,1,0,7.5,5.9,Low,9.64,7.2,58.3
USR00036,36.0,Female,Urban,YouTube Shorts,0.96,2.0,4,16,7.62,6.8,lo,8.69,5.23,55.0
USR00037,33.0,Male,Suburban,YouTube Shorts,3.16,8.79,10,44,8.11,5.6,Low,9.37,7.15,47.9
USR00038,39.0,Male,Urban,YouTube Shorts,1.66,6.14,5,20,7.99,4.5,low,8.94,5.72,57.8
USR00039,17.0,Female,Urban,TikTok,3.55,8.51,8,40,6.03,3.5,High,6.2,3.74,31.3
USR00040,34.0,Male,Urban,YouTube Shorts,4.27,7.57,14,48,5.68,2.8,High,6.99,4.83,12.8
USR00041,26.0,Female,Urban,YouTube Shorts,2.67,5.46,5,22,8.65,4.8,Medium,8.44,5.69,42.6
USR00042,26.0,Male,Rural,Instagram Reels,1.31,2.94,4,16,8.14,5.0,Low,8.08,6.91,53.6
USR00043,32.0,Male,Urban,Instagram Reels,0.74,4.0,4,13,7.63,7.3,Low,9.42,6.18,50.4
USR00044,18.0,Male,Urban,Instagram Reels,5.62,12.0,13,62,6.4,3.4,hi,7.54,4.68,43.8
USR00045,21.0,Male,Rural,Instagram Reels,4.07,8.19,10,42,7.18,,High,7.09,6.59,45.6
USR00046,20.0,Female,Urban,YouTube Shorts,4.82,9.91,12,42,6.12,5.3,Medium,7.22,6.04,32.1
USR00047,30.0,Female,Urban,TikTok,2.83,7.95,4,19,7.72,5.4,Low,7.27,6.45,35.3
USR00048,21.0,Male,Urban,TikTok,6.68,13.41,19,56,6.04,4.9,High,5.86,3.01,15.8
USR00049,27.0,Male,Urban,YouTube Shorts,3.7,11.18,7,25,6.28,4.5,High,6.44,5.94,39.6
USR00050,21.0,Female,Suburban,Tiktok,4.35,9.32,13,56,6.79,4.3,High,7.66,4.56,29.9
USR00051,22.0,Female,Urban,YouTube Shorts,3.54,9.7,10,35,6.74,2.0,Medium,7.04,5.42,45.8
USR00052,34.0,Female,Urban,Instagram reels,3.14,11.89,11,31,7.89,,Low,8.59,5.2,45.7
USR00053,32.0,Female,Urban,YouTube Shorts,2.67,4.98,6,34,7.21,4.1,Low,8.02,6.0,36.1
USR00054,39.0,Male,Urban,Instagram Reels,4.08,10.07,11,47,8.41,3.1,Medium,8.45,5.17,32.0
USR00055,44.0,Female,Urban,YOUTUBE SHORTS,1.68,5.93,5,17,6.45,7.5,Medium,8.6,7.44,58.8
USR00056,35.0,Male,Rural,TikTok,3.83,11.24,9,34,7.36,2.7,med,8.53,5.56,35.6
USR00057,35.0,Male,Urban,Instagram Reels,1.78,5.5,2,,7.34,3.9,Low,9.62,8.47,63.3
USR00058,39.0,Female,Urban,tik_tok,1.49,4.41,8,40,7.51,8.0,L,9.06,7.02,44.0
USR00059,31.0,Female,Urban,YouTube Shorts,0.85,2.06,4,22,9.63,8.8,low,9.84,8.1,69.7
USR00060,30.0,Male,Rural,Instagram Reels,2.35,6.39,8,26,6.61,6.7,Medium,7.2,5.02,45.1
USR00061,36.0,Male,Suburban,Instagram Reels,3.31,12.5,8,28,7.61,4.6,Low,7.7,5.33,46.6
USR00062,38.0,Female,Urban,YouTube Shorts,1.73,6.21,7,24,7.71,3.5,Low,9.78,8.24,59.9
USR00063,32.0,FEMALE,Urban,Instagram Reels,2.98,8.02,11,42,7.93,4.3,Medium,9.19,6.56,34.6
USR00064,20.0,female,Urban,Instagram Reels,3.21,7.16,4,15,6.77,6.3,High,7.96,6.0,51.5
USR00065,40.0,,Urban,Tik Tok,1.63,4.2,2,10,7.34,8.2,Low,10.0,8.09,53.3
USR00066,25.0,Female,Suburban,TikTok,N/A,6.5,7,14,7.96,6.2,Medium,7.85,5.7,38.6
USR00067,30.0,Female,Suburban,Instagram Reels,3.54,9.99,6,24,8.33,5.1,Low,8.55,6.57,45.4
USR00068,16.0,Female,Urban,TikTok,5.21,11.15,11,47,5.97,5.4,High,4.08,1.0,10.0
USR00069,22.0,Female,Urban,YouTube Shorts,3.28,8.35,9,46,-1,3.4,Medium,9.09,7.17,55.4
USR00070,40.0,,Urban,YouTube Shorts,1.11,4.35,2,0,7.99,7.8,Medium,7.63,5.02,54.3
USR00071,25.0,Male,Suburban,YouTube Shorts,2.23,7.32,6,18,7.43,4.4,LOW,7.54,5.76,42.3
USR00072,26.0,Male,Urban,TikTok,2.5,9.02,6,34,8.86,6.5,L,7.19,5.86,47.0
USR00073,42.0,Female,Urban,Instagram Reels,1.78,3.91,6,18,8.45,5.4,Low,9.59,8.65,62.6
USR00074,15.0,Female,Urban,TikTok,6.01,14.29,14,57,5.84,2.6,High,4.59,3.22,31.8
USR00075,19.0,female,Suburban,TikTok,5.35,10.3,11,53,6.84,1.6,High,6.04,4.05,24.2
USR00076,22.0,Female,Urban,Instagram Reels,5.82,12.2,15,66,6.32,3.9,Medium,5.99,4.51,27.1
USR00077,17.0,Female,Suburban,TikTok,6.17,12.45,13,48,6.36,4.1,H,7.84,4.84,38.0
USR00078,22.0,Male,Urban,Instagram Reels,4.37,9.95,9,30,5.71,4.4,High,5.56,3.79,28.8
USR00079,22.0,FEMALE,Rural,TikTok,3.33,12.07,7,26,7.84,4.5,Medium,7.07,4.66,40.4
USR00080,15.0,Female,Rural,TikTok,5.35,12.71,15,67,6.34,4.8,High,7.16,6.68,29.2
USR00081,21.0,Male,Rural,TikTok,3.88,8.08,11,48,6.79,4.2,medium,7.33,6.6,33.5
USR00082,24.0,Male,Suburban,YouTube Shorts,4.15,9.4,11,47,6.89,4.5,High,7.29,4.82,26.9
USR00083,34.0,Male,Suburban,Instagram Reels,1.71,4.09,1,15,7.57,4.5,Medium,8.52,5.3,38.5
USR00084,43.0,Male,Urban,YOUTUBE SHORTS,2.98,7.71,3,12,7.09,5.3,High,9.13,5.03,44.7
USR00085,15.0,,Urban,YouTube Shorts,3.88,9.64,7,,7.53,,High,8.02,4.98,39.1
USR00086,27.0,Female,Rural,Instagram Reels,2.86,7.45,7,54,6.45,4.7,Medium,6.53,3.87,23.9
USR00087,26.0,Female,Suburban,TikTok,2.01,5.52,4,27,7.12,8.0,med,8.76,5.96,41.6
USR00088,24.0,Female,Urban,Instagram Reels,5.24,12.85,10,28,5.94,2.9,High,5.54,4.28,21.1
USR00089,33.0,FEMALE,Suburban,Instagram Reels,1.38,6.96,5,9,9.5,4.5,Low,10.0,7.08,62.7
USR00090,31.0,Female,Urban,YouTube Shorts,3.62,5.37,8,23,8.4,5.0,Medium,7.15,5.91,44.0
USR00091,32.0,Non-binary,Suburban,YouTube Shorts,1.6,4.56,2,9,8.69,2.5,Low,8.43,6.43,50.7
USR00092,19.0,Female,Urban,Instagram Reels,3.23,9.9,4,22,6.46,2.2,Med,6.42,5.15,25.4
USR00093,29.0,Female,Suburban,Instagram Reels,2.38,7.43,3,8,7.67,4.1,Low,9.23,5.63,
USR00094,29.0,Female,Suburban,TikTok,3.26,8.56,9,35,6.62,4.0,Medium,7.78,5.24,40.4
USR00095,23.0,Female,Rural,TikTok,4.9,10.87,12,30,7.34,3.2,Low,7.69,6.08,48.6
USR00096,20.0,Non-binary,Rural,TikTok,4.09,10.83,8,27,7.27,3.7,hi,6.94,3.9,30.3
USR00097,37.0,Female,Suburban,YouTube Shorts,0.66,2.69,1,20,7.48,7.1,low,10.0,7.09,43.6
USR00098,19.0,Male,Urban,Instagram Reels,3.51,9.98,9,28,7.53,4.9,Medium,9.35,6.53,37.2
USR00099,25.0,Female,Urban,YouTube Shorts,2.11,3.91,3,18,7.07,4.0,L,8.09,5.96,37.6
USR00100,23.0,,Rural,YouTube Shorts,4.52,11.71,12,45,7.61,1.5,High,7.95,4.86,33.5
USR00101,22.0,Non-binary,Urban,YouTube Shorts,4.02,10.53,11,44,7.43,2.2,Medium,7.23,5.92,46.2
USR00102,35.0,Male,Suburban,YouTube Shorts,2.14,8.02,8,26,7.08,4.7,Medium,8.43,4.73,46.4
USR00103,20.0,Male,Urban,TikTok,6.25,11.73,16,62,6.19,4.7,High,7.2,3.99,14.5
USR00104,32.0,Male,Suburban,Instagram Reels,1.46,3.81,2,4,8.85,4.0,Low,8.37,6.9,50.1
USR00105,34.0,Male,Urban,YouTube Shorts,3.44,8.46,8,21,5.4,4.6,High,8.03,5.55,41.2
USR00106,19.0,Non-binary,Suburban,TikTok,5.81,15.64,17,62,6.64,2.3,High,6.68,3.69,16.9
USR00107,21.0,Male,Rural,Instagram Reels,4.66,9.47,7,35,7.25,2.3,High,7.94,6.05,29.9
USR00108,29.0,Female,Suburban,YouTube Shorts,2.28,9.32,5,23,8.16,3.5,Low,9.08,7.49,59.7
USR00109,23.0,Male,Rural,TikTok,3.91,8.97,7,35,5.84,3.7,High,7.25,4.04,35.2
USR00110,27.0,Male,Urban,Instagram Reels,3.73,10.75,8,42,7.78,3.6,Low,9.71,8.05,58.9
USR00111,24.0,male,Suburban,YouTube Shorts,3.07,9.58,9,32,7.88,4.2,Medium,9.91,6.7,52.1
USR00112,34.0,Female,Rural,Instagram Reels,1.55,5.16,5,20,7.5,5.1,Medium,7.47,4.26,39.1
USR00113,16.0,MALE,Urban,TikTok,3.78,8.01,8,53,4.57,6.4,HIGH,5.31,3.39,21.7
USR00114,16.0,Female,Urban,TikTok,5.33,11.22,11,46,7.55,2.4,High,6.54,4.73,20.1
USR00115,19.0,f,Urban,TikTok,4.97,12.92,12,48,7.99,5.3,Low,8.02,5.25,37.4
USR00116,26.0,Male,Suburban,TikTok,3.37,8.55,9,21,7.87,,Low,7.82,6.01,46.0
USR00117,24.0,Male,Suburban,TIKTOK,5.42,12.42,11,65,6.05,2.0,Medium,7.26,3.57,15.8
USR00118,34.0,Female,Suburban,YouTube Shorts,1.87,5.07,3,18,,6.0,Medium,7.57,5.44,32.5
USR00119,40.0,FEMALE,Suburban,Instagram Reels,2.3,7.39,4,18,6.93,5.1,Medium,8.48,5.83,35.5
USR00120,35.0,Male,Urban,YouTube Shorts,1.82,4.42,1,4,7.58,6.5,Low,7.57,6.71,47.7
USR00121,23.0,Female,Urban,YouTube Shorts,5.63,12.11,15,58,5.67,3.0,High,5.86,3.82,20.4
USR00122,27.0,Female,Rural,Instagram Reels,3.56,10.34,10,32,6.15,,High,6.79,2.75,15.8
USR00123,18.0,M,Suburban,TikTok,5.57,13.1,16,69,7.08,3.3,High,6.14,3.52,26.0
USR00124,26.0,Female,Urban,TIKTOK,4.24,9.53,10,31,8.93,5.2,Medium,7.99,5.2,40.0
USR00125,21.0,Female,Urban,TikTok,5.0,11.44,12,32,6.4,2.1,High,7.19,5.34,23.1
USR00126,28.0,Male,Suburban,TikTok,3.34,9.68,8,38,5.94,4.1,High,7.28,5.13,28.0
USR00127,16.0,Male,Rural,TikTok,4.35,12.11,13,42,6.69,5.4,Medium,5.83,4.51,24.9
USR00128,21.0,Female,Suburban,tik_tok,3.84,7.48,11,37,25,4.7,Low,8.51,5.3,36.0
USR00129,20.0,male,Urban,TikTok,4.4,8.62,10,49,7.71,3.1,Medium,5.96,4.78,46.7
USR00130,36.0,Non-binary,Suburban,Instagram Reels,1.39,3.64,6,23,6.84,5.5,Low,9.38,7.14,
USR00131,16.0,Male,Rural,Instagram reels,4.34,10.12,9,26,7.02,,Low,5.41,3.88,22.1
USR00132,26.0,Female,Urban,Instagram Reels,2.24,7.58,4,18,,5.0,Medium,7.92,5.74,49.8
USR00133,33.0,Male,Urban,YouTube Shorts,2.52,7.29,5,12,8.0,4.4,Low,8.25,6.16,31.8
USR00134,15.0,Female,Urban,YouTube Shorts,4.04,8.61,12,66,6.92,2.0,H,6.41,3.26,12.8
USR00135,42.0,Male,Urban,Instagram Reels,1.85,4.84,3,33,8.2,7.0,L,8.3,6.58,41.8
USR00136,34.0,M,Rural,YouTube Shorts,2.8,6.01,7,34,7.68,3.8,Medium,8.49,7.32,49.6
USR00137,17.0,Female,Suburban,YouTube Shorts,3.79,10.56,12,33,5.83,6.1,High,6.79,4.68,30.6
USR00138,27.0,Male,Urban,TikTok,3.75,9.29,9,28,7.1,5.0,Medium,6.99,4.74,44.8
USR00139,31.0,Non-binary,Urban,YouTube Shorts,1.56,7.65,4,26,8.44,2.8,Low,9.37,7.15,46.4
USR00140,21.0,Male,Urban,YouTube Shorts,3.9,9.18,13,58,8.48,7.5,Low,7.19,5.54,38.3
USR00141,23.0,Female,Rural,TikTok,4.01,9.97,10,43,7.3,4.1,Medium,6.5,4.19,28.4
USR00142,19.0,Female,Rural,Insta Reels,3.59,11.64,11,41,7.44,4.5,High,6.47,4.12,28.4
USR00143,31.0,Male,Urban,TikTok,2.78,8.52,7,15,9.24,4.6,Low,7.82,7.49,58.7
USR00144,18.0,f,Rural,Instagram Reels,5.0,12.62,15,53,6.25,1.5,High,6.49,4.1,31.4
USR00145,23.0,Male,Rural,Instagram Reels,4.43,9.5,13,50,6.78,2.8,High,7.31,4.24,24.1
USR00146,30.0,Male,Urban,Instagram Reels,3.36,6.02,8,23,5.72,3.9,High,7.17,5.14,22.1
USR00147,28.0,Male,Urban,Instagram Reels,1.33,3.98,7,31,7.97,4.7,Low,9.74,7.79,62.6
USR00148,43.0,Female,Suburban,YouTube Shorts,1.46,3.24,7,22,,5.6,Low,8.87,7.02,53.4
USR00149,23.0,,Urban,TikTok,4.42,10.92,14,44,6.71,3.4,Medium,6.34,5.31,37.6
USR00150,33.0,Male,Rural,Insta Reels,2.21,6.96,5,23,8.07,5.4,Low,8.12,6.22,44.8
USR00151,31.0,Female,Urban,Youtube Shorts,3.09,7.78,5,23,6.83,5.2,Medium,7.5,5.32,45.2
USR00152,33.0,Female,Urban,TikTok,2.88,6.3,11,38,5.77,4.7,hi,7.71,5.24,
USR00153,23.0,Male,Rural,Instagram Reels,3.23,7.83,8,25,7.76,5.3,Medium,8.3,8.61,67.1
USR00154,22.0,Female,Suburban,TikTok,4.71,13.71,11,40,7.34,2.1,Medium,7.14,6.11,
USR00155,37.0,Male,Suburban,Instagram Reels,3.32,7.16,12,59,7.95,6.2,Medium,7.66,5.15,46.2
USR00156,36.0,Female,Rural,Instagram Reels,2.01,4.95,4,3,7.69,6.3,Low,8.11,5.3,35.5
USR00157,27.0,Male,Urban,Instagram Reels,2.78,6.46,9,35,6.71,5.3,Low,8.18,7.5,42.5
USR00158,41.0,Female,Suburban,YouTube Shorts,2.23,4.43,4,3,8.14,6.8,Low,9.09,7.04,50.8
USR00159,18.0,FEMALE,Rural,TikTok,3.98,11.0,10,39,5.66,4.3,High,7.11,2.93,19.2
USR00160,24.0,Non-binary,Urban,TikTok,3.86,9.59,7,38,6.84,2.3,High,6.29,4.63,34.3
USR00161,30.0,Male,Rural,TikTok,4.37,11.45,10,45,6.68,5.2,Medium,7.84,5.08,39.4
USR00162,36.0,Female,Suburban,Instagram Reels,2.96,7.05,6,27,7.4,2.6,Low,8.69,6.95,48.9
USR00163,18.0,Male,Urban,TikTok,5.39,10.54,13,53,6.4,3.9,HIGH,6.87,5.52,32.7
USR00164,15.0,Female,Urban,Instagram Reels,5.96,15.73,15,75,7.38,1.8,High,6.67,2.48,17.7
USR00165,17.0,Male,Rural,TikTok,5.25,12.02,12,29,6.88,3.7,Medium,6.7,3.93,16.3
USR00166,21.0,Male,Urban,Instagram Reels,3.61,9.02,11,35,6.5,7.6,Medium,6.22,3.97,13.6
USR00167,15.0,Female,Urban,INSTAGRAM REELS,4.3,12.61,11,17,7.75,4.6,Medium,6.96,4.81,29.0
USR00168,15.0,Female,Urban,Instagram Reels,4.45,10.13,14,53,6.28,4.4,High,6.4,4.26,26.6
USR00169,22.0,Female,Suburban,Instagram Reels,4.48,10.1,10,36,6.56,3.7,High,6.81,4.33,40.6
USR00170,37.0,Female,Rural,YouTube Shorts,1.01,5.65,6,18,6.74,5.1,Low,9.64,9.22,55.5
USR00171,23.0,Male,Urban,TikTok,4.15,10.25,8,28,6.95,4.0,High,8.34,4.67,36.1
USR00172,32.0,Male,Urban,YouTube Shorts,3.41,7.13,5,36,6.75,2.2,Medium,9.69,7.07,41.2
USR00173,25.0,Male,Suburban,TIKTOK,3.49,9.28,8,59,6.76,4.6,Medium,8.91,7.43,46.4
USR00174,24.0,Female,Urban,YouTube Shorts,3.89,9.1,10,42,7.13,3.7,High,6.84,3.58,28.3
USR00175,20.0,m,Urban,Instagram Reels,2.55,6.29,6,26,6.35,4.7,Low,8.14,5.53,46.3
USR00176,16.0,Male,Suburban,TikTok,3.61,9.3,7,21,7.47,4.3,Moderate,8.93,5.96,50.6
USR00177,34.0,Male,Urban,YouTube Shorts,0.3,4.64,1,0,8.13,4.4,Low,9.92,8.12,61.1
USR00178,15.0,Male,Urban,TikTok,3.65,10.46,8,45,5.2,4.8,High,6.55,4.46,31.2
USR00179,,Male,Urban,YouTube Shorts,1.72,6.05,1,15,8.95,2.1,LOW,10.0,8.72,68.1
USR00180,33.0,Male,Urban,Instagram Reels,2.87,8.09,7,34,7.63,5.6,Medium,6.91,4.44,
USR00181,24.0,Male,Urban,Instagram reels,4.39,10.79,10,40,5.69,2.9,High,6.98,4.52,31.2
USR00182,16.0,Female,Suburban,TikTok,4.06,9.43,13,41,7.2,5.1,Medium,6.63,4.07,23.1
USR00183,19.0,Female,Suburban,TikTok,5.33,9.6,12,63,5.16,4.5,H,7.18,4.02,
USR00184,37.0,Male,Rural,youtube shorts,0.39,3.03,2,20,9.22,6.5,Low,10.0,5.25,
USR00185,18.0,Female,Urban,Instagram Reels,3.42,8.46,11,42,6.36,4.1,Medium,6.3,4.54,17.2
USR00186,28.0,Male,Rural,YouTube Shorts,1.91,4.95,4,19,7.04,4.1,Medium,10.0,7.39,58.5
USR00187,36.0,Male,Urban,TikTok,4.01,9.47,11,40,6.84,4.9,Medium,8.84,6.66,55.2
USR00188,34.0,Female,Rural,Instagram Reels,1.99,4.22,6,9,8.74,,lo,9.2,6.91,45.5
USR00189,38.0,Female,Rural,YT Shorts,2.79,9.43,8,15,7.54,3.8,Low,8.15,6.49,49.1
USR00190,34.0,Male,Urban,Instagram Reels,2.38,7.3,8,35,7.59,6.2,Low,8.52,8.38,-10
USR00191,27.0,Female,Urban,TikTok,3.15,9.08,6,15,8.7,1.9,Low,9.26,7.0,41.7
USR00192,19.0,Non-binary,Urban,Instagram Reels,5.64,12.53,14,60,5.66,4.3,High,5.77,3.07,22.7
USR00193,28.0,Female,Suburban,YouTube Shorts,1.6,7.36,5,11,7.72,4.5,Medium,8.97,6.58,43.3
USR00194,25.0,Male,Urban,instagram,1.8,5.24,3,11,6.34,2.1,low,10.0,7.72,40.4
USR00195,28.0,Female,Rural,Instagram Reels,2.08,4.75,4,34,8.9,6.2,Low,8.92,6.3,66.7
USR00196,37.0,Female,Urban,YouTube Shorts,1.24,3.62,2,9,7.04,,Low,8.95,5.62,38.5
USR00197,,Female,Rural,YouTube Shorts,1.26,3.98,3,0,7.66,2.5,Med,8.62,5.01,46.2
USR00198,42.0,Non-binary,Urban,YouTube Shorts,0.43,2.0,1,12,7.04,4.8,Low,9.65,8.46,59.9
USR00199,33.0,Female,Urban,Instagram Reels,2.15,3.95,7,24,7.24,5.6,Low,8.45,7.73,64.8
USR00200,26.0,Male,Urban,TikTok,1.72,4.57,4,13,7.7,8.2,Medium,8.66,7.33,47.5
USR00201,18.0,Female,Urban,TikTok,4.1,9.41,8,29,6.66,3.0,High,7.54,4.74,29.2
USR00202,33.0,FEMALE,Suburban,Instagram Reels,2.41,8.29,10,62,7.84,4.8,High,7.87,5.11,44.1
USR00203,25.0,Female,Suburban,YouTube Shorts,2.0,5.99,6,35,9.44,3.0,Low,8.74,6.64,50.4
USR00204,28.0,Male,Suburban,TikTok,2.71,7.11,4,,7.01,2.0,Medium,6.81,4.54,46.8
USR00205,38.0,Female,Rural,Insta Reels,1.45,6.35,6,23,9.96,4.6,Low,10.0,6.57,43.6
USR00206,18.0,Male,Urban,TikTok,7.6,15.78,18,71,5.87,1.8,High,5.45,2.72,25.9
USR00207,23.0,Female,Rural,TikTok,4.92,8.99,14,54,6.91,3.9,High,6.36,3.49,25.4
USR00208,26.0,Female,Urban,TikTok,3.7,9.67,9,36,6.69,4.1,H,6.2,3.63,35.6
USR00209,30.0,Female,Suburban,TikTok,3.25,6.24,10,41,7.36,4.1,Medium,9.63,6.15,37.8
USR00210,21.0,,Urban,INSTAGRAM REELS,3.32,8.38,11,44,6.3,4.7,hi,6.68,4.55,36.9
USR00211,16.0,Female,Urban,TikTok,6.92,15.28,17,67,5.98,3.8,High,7.1,4.29,32.8
USR00212,23.0,Female,Suburban,Instagram Reels,4.97,12.45,10,38,6.83,4.1,High,6.7,5.07,27.2
USR00213,27.0,Male,Rural,Instagram Reels,3.93,9.27,9,42,7.99,3.3,Med,7.29,4.25,31.5
USR00214,24.0,Female,Urban,TikTok,5.11,9.98,14,65,5.27,2.7,High,5.75,3.69,40.6
USR00215,20.0,Male,Urban,Instagram Reels,4.27,7.93,12,52,5.73,5.8,Med,6.15,2.8,24.5
USR00216,22.0,Female,Urban,TikTok,4.93,10.73,13,45,5.87,3.6,High,5.8,4.58,29.0
USR00217,32.0,Male,Urban,Instagram Reels,2.1,3.34,8,30,8.58,6.4,Medium,8.97,6.19,48.0
USR00218,31.0,Female,Urban,YouTube Shorts,2.36,6.94,5,20,8.32,5.3,Low,9.47,6.57,46.3
USR00219,37.0,F,Suburban,YouTube Shorts,0.74,5.62,2,6,8.56,3.9,Low,9.4,6.75,60.6
USR00220,15.0,f,Rural,TikTok,5.08,9.05,10,25,6.36,4.9,High,7.07,4.91,37.9
USR00221,41.0,Male,Suburban,Instagram Reels,1.73,8.27,6,22,6.74,2.6,Low,7.4,6.34,57.3
USR00222,36.0,Female,Urban,Instagram Reels,3.06,8.6,8,22,8.06,6.3,Low,9.06,6.62,42.8
USR00223,17.0,Male,Urban,TikTok,5.29,13.22,13,60,6.53,0.9,High,5.9,4.81,40.3
USR00224,27.0,Male,Urban,Instagram Reels,3.82,7.29,10,30,5.16,4.8,High,7.35,3.6,23.3
USR00225,21.0,Female,Urban,Instagram Reels,3.31,7.09,10,53,7.17,5.5,Medium,7.93,6.05,32.3
USR00226,,Female,Urban,Instagram Reels,2.5,8.53,6,36,8.62,6.8,Medium,7.98,5.46,43.9
USR00227,32.0,Female,Suburban,Instagram Reels,2.48,7.01,13,,6.87,3.0,Medium,9.22,7.17,52.6
USR00228,21.0,Female,Urban,YouTube Shorts,3.91,9.43,5,5,7.56,3.0,Medium,7.13,6.44,45.6
USR00229,33.0,Female,Urban,YouTube Shorts,1.2,2.93,5,21,7.92,7.7,Low,10.0,7.66,50.2
USR00230,18.0,Female,Urban,TikTok,4.46,9.02,10,32,4.82,6.1,Medium,8.26,6.49,51.3
USR00231,21.0,Female,Suburban,TikTok,4.51,8.53,10,41,6.35,5.6,High,6.17,5.17,27.5
USR00232,18.0,Male,Urban,Instagram Reels,3.88,11.56,8,35,7.72,2.6,Medium,8.11,5.98,36.9
USR00233,16.0,Female,Urban,Instagram Reels,2.49,8.55,8,24,8.22,,low,9.29,6.79,49.3
USR00234,44.0,Male,Rural,YouTube Shorts,2.32,5.73,6,42,6.51,3.8,Low,8.96,6.51,45.4
USR00235,35.0,Female,Suburban,Instagram Reels,2.94,11.51,7,13,7.7,3.2,Low,8.0,6.13,40.9
USR00236,37.0,Male,Urban,Instagram Reels,1.95,3.22,2,17,8.34,7.0,Low,8.98,6.68,42.0
